pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
5 13.74747 14.78182 0.5982577 12.82648 0.9146934 0
5 13.73725 14.78182 0.5982577 12.80036 0.9332099 0
5 13.85051 14.87411 0.6429279 12.94057 0.8902765 0
5 14.00116 15.00958 0.6172101 13.10973 0.9546096 0
5 14.06314 15.08373 0.5356217 13.16566 0.9081974 0
5 14.18026 15.19522 0.5916681 13.28637 0.9896523 0
5 14.38397 15.33117 0.5728158 13.56217 0.9712756 0
5 14.57201 15.53381 0.5882694 13.74383 0.9554156 0
5 14.56583 15.50568 0.6366473 13.76538 0.9315184 0
5 14.66101 15.65993 0.7029085 13.80655 0.8677413 0
5 14.66106 15.65992 0.7029085 13.80658 0.8677413 0
5 14.78863 15.84744 0.6336976 13.86646 0.8345112 0
5 14.77735 15.86965 0.6437078 13.81037 0.830896 0
5 14.25117 15.34343 0.7090705 13.28922 0.6579198 0
5 14.25131 15.34358 0.7090705 13.28935 0.6579198 0
5 13.01901 13.00853 0.3718906 13.28918 0.6579198 0
5 19.87893 19.3189 0 32.13919 0 0
5 5.277672 5.823424 0.6318958 5.333441 0.7014705 0
5 4.961002 5.850189 0.5740362 4.230127 0.6417115 0
5 5.10419 5.969232 0.4557974 4.377256 0.5665976 0
5 5.274775 6.041437 0.4040912 4.632358 0.808015 0
5 5.441757 6.07028 0.4837157 4.903167 0.7677063 0
5 5.609758 6.116416 0.4222436 5.18255 0.6141441 0
5 5.722554 6.164307 0.4380427 5.356061 0.5168158 0
5 5.833312 6.164307 0.4380427 5.583389 0.498208 0
5 6.006618 6.237876 0.4498481 5.855313 0.6545487 0
5 13.48724 19.31893 0 8.263367 0.4716578 0
5 8.104719 7.714495 0.7917978 8.687155 0.5915955 0
5 20.02415 7.911402 0.7612025 32.13923 0 0
5 20.01875 9.155728 0.4598543 32.13923 0 0
5 20.01851 9.1556 0.4598543 32.1391 0 0
5 19.87887 19.31888 0 32.13913 0 0
5 19.87898 19.31884 0 32.13921 0 0
5 19.87884 19.3189 0 32.13903 0 0
5 19.879 19.31893 0 32.13924 0 0
5 23.83195 18.8639 0.562945 32.13913 0 0
5 23.83197 18.86394 0.562945 32.13917 0 0
5 23.41252 17.09999 0.99 32.13919 0 0
5 23.41241 17.09989 0.99 32.13905 0 0
5 23.61411 17.47356 0.8537946 32.1392 0 0
5 23.61403 17.47353 0.8537946 32.13911 0 0
5 23.64904 17.63175 0.5504373 32.13917 0 0
5 23.64902 17.63175 0.5504373 32.13911 0 0
5 18.80918 17.53918 0.7775286 20.07426 0.5192114 0
5 18.80924 17.53919 0.7775286 20.07428 0.5192114 0
5 18.59715 17.48919 0.9064528 19.70156 0.7419573 0
5 18.59716 17.4892 0.9064528 19.70156 0.7419573 0
5 18.4384 17.42156 0.7379404 19.45214 0.9110075 0
5 18.43849 17.42165 0.7379404 19.45217 0.9110075 0
5 18.42603 17.39702 0.6958001 19.45219 0.9110075 0
5 18.42602 17.39697 0.6958001 19.45214 0.9110075 0
5 18.39988 17.48835 0.806245 19.31376 0.8588145 0
5 18.39992 17.48839 0.806245 19.31384 0.8588145 0
5 18.40414 17.49507 0.7814035 19.31376 0.8588145 0
5 18.4041 17.49503 0.7814035 19.31373 0.8588145 0
5 18.28049 17.40535 0.7192151 19.1594 0.8566631 0
5 18.28049 17.40532 0.7192151 19.15941 0.8566631 0
5 18.17486 17.28904 0.7907082 19.0694 0.8953553 0
5 18.17488 17.28904 0.7907082 19.06938 0.8953553 0
5 18.22131 17.33049 0.7099299 19.12504 0.8785422 0
5 18.22133 17.3305 0.7099299 19.1251 0.8785422 0
5 18.30725 17.41003 0.7314268 19.21776 0.7868135 0
5 18.3073 17.41012 0.7314268 19.21784 0.7868135 0
5 18.27888 17.39068 0.8228783 19.17786 0.6231277 0
5 18.27885 17.39067 0.8228783 19.17782 0.6231277 0
5 18.21486 17.38306 0.8056553 19.05829 0.6495936 0
5 18.21477 17.38298 0.8056553 19.0582 0.6495936 0
5 18.1914 17.36277 0.7557115 19.03408 0.7217643 0
5 18.19137 17.36276 0.7557115 19.03407 0.7217643 0
