FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 310.8372 -0.4594304 1.192432 -2.499254 353.4944 3.825849 353.9021 0 0 0.5591239 0.5056473 -1 -1 0.6486977 0.5995851 0 0.7502702
2 1 310.9622 -0.4594389 1.192355 -2.499016 353.5394 3.840775 353.9102 0.5621079 0.5107529 0.5586271 0.5018032 0.4014035 0.5365815 0.6471673 0.6025087 0.8821419 0.7728437
3 1 311.0775 -0.4615555 1.192622 -2.49923 353.438 3.69489 354.2182 0.5639116 0.5098527 0.5574663 0.5011408 0.3993387 0.5366654 0.6458232 0.6022735 0.8485448 1
4 1 311.0832 -0.4616401 1.192587 -2.499374 353.4412 3.67764 354.2421 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
5 1 311.0906 -0.461604 1.192565 -2.499389 353.4243 3.674439 354.2663 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
6 1 311.1024 -0.4616389 1.192577 -2.499397 353.4248 3.678293 354.2603 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
7 1 311.1133 -0.4616581 1.192575 -2.499446 353.4131 3.675421 354.2579 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
8 1 311.1301 -0.461657 1.192569 -2.499464 353.4085 3.681306 354.256 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
9 1 311.1361 -0.4616377 1.192585 -2.49947 353.411 3.672295 354.2449 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
10 1 311.1464 -0.4616638 1.192588 -2.499433 353.4082 3.668133 354.2252 0.5639116 0.5098527 0.5574663 0.5011408 -1 -1 -1 -1 0.8485448 1
11 1 311.1584 -0.461668 1.192613 -2.49944 353.4026 3.670377 354.2379 0.5634939 0.5084869 0.5576301 0.5011922 0.3992745 0.5354577 0.6460016 0.6023424 1 0.8344518
12 1 311.1685 -0.4616839 1.192643 -2.499451 353.4023 3.673887 354.2492 0.5634939 0.5084869 0.5553501 0.4999985 -1 -1 0.6433892 0.6017997 1 0.3318208
13 1 311.1799 -0.461646 1.192676 -2.499525 353.3896 3.657532 354.2697 0.5634939 0.5084869 0.5553501 0.4999985 -1 -1 -1 -1 1 0.3318208
14 1 311.1912 -0.4616444 1.192676 -2.499532 353.384 3.665048 354.2709 0.4405445 0.5843004 0.5553501 0.4999985 0 1 -1 -1 0 0.3318208
15 1 311.2018 -0.461647 1.192688 -2.499527 353.366 3.659443 354.2791 0.4405445 0.5843004 0.5553501 0.4999985 -1 -1 -1 -1 0 0.3318208
16 1 311.213 -0.4617043 1.192676 -2.499515 353.3582 3.659184 354.2871 0.4405445 0.5843004 0.524424 0.4694388 -1 -1 0.6039397 0.6088231 0 0.6911355
17 1 311.3671 -0.4617635 1.192753 -2.499488 353.3561 3.664913 354.2884 0.5303889 0.4756464 0.5245125 0.4662173 0.419423 0.4957061 0.603147 0.61179 0.9044969 0.6498563
18 1 311.3777 -0.4620252 1.192806 -2.498787 353.3967 3.564903 354.3976 0.5303889 0.4756464 0.5244738 0.4662369 -1 -1 0.6031132 0.6117491 0.9044969 0.7756663
19 1 311.3832 -0.4620996 1.192773 -2.498741 353.4077 3.545813 354.4257 0.5303889 0.4756464 0.5244738 0.4662369 -1 -1 -1 -1 0.9044969 0.7756663
20 1 311.3907 -0.462137 1.192747 -2.498724 353.4241 3.52239 354.4389 0.5305709 0.4758987 0.5248874 0.4666896 0.4193423 0.4959865 0.6036558 0.6115865 0.8435407 0.6679454
21 1 311.4021 -0.4622613 1.192716 -2.498703 353.4228 3.496201 354.4671 0.5305709 0.4758987 0.5248874 0.4666896 -1 -1 -1 -1 0.8435407 0.6679454
22 1 311.413 -0.4623465 1.192713 -2.498686 353.4293 3.476131 354.4939 0.5311975 0.4762727 0.5249751 0.4658995 0.4188887 0.4965566 0.6035277 0.6123561 0.7835945 0.3535952
23 1 311.4251 -0.4623895 1.192675 -2.498707 353.4355 3.437177 354.5108 0.5311975 0.4762727 0.5249751 0.4658995 -1 -1 -1 -1 0.7835945 0.3535952
24 1 311.4352 -0.4625201 1.19267 -2.498714 353.4445 3.413666 354.5391 0.5414418 0.4661952 0.5249751 0.4658995 0.4056931 0.4928504 -1 -1 0.99 0.3535952
25 1 311.4462 -0.4625772 1.192682 -2.498752 353.4492 3.385812 354.5605 0.5414418 0.4661952 0.5249751 0.4658995 -1 -1 -1 -1 0.99 0.3535952
26 1 311.4578 -0.4626997 1.192734 -2.498708 353.4483 3.358078 354.5784 0.5433832 0.4610499 0.5249751 0.4658995 0.40204 0.4894713 -1 -1 1 0.3535952
27 1 311.4688 -0.4627582 1.192731 -2.498724 353.4506 3.330964 354.5902 0.5433832 0.4610499 0.5249751 0.4658995 -1 -1 -1 -1 1 0.3535952
28 1 311.48 -0.4628475 1.192713 -2.498752 353.4511 3.306418 354.5998 0.5433832 0.4610499 0.5354366 0.4520218 -1 -1 0.6102273 0.6316432 1 0.7348592
29 1 311.4907 -0.462925 1.192754 -2.498764 353.4599 3.289152 354.6134 0.5433832 0.4610499 0.5354366 0.4520218 -1 -1 -1 -1 1 0.7348592
30 1 311.5019 -0.4629601 1.192767 -2.498791 353.4624 3.269085 354.6209 0.5438127 0.461139 0.5359982 0.4520193 0.4016654 0.4897289 0.6107906 0.632003 0.9380713 1
31 1 311.5132 -0.4629909 1.192777 -2.498842 353.4438 3.253935 354.6255 0.5438127 0.461139 0.5359982 0.4520193 -1 -1 -1 -1 0.9380713 1
32 1 311.5252 -0.4630398 1.192811 -2.498873 353.4368 3.247404 354.6323 0.5444722 0.4616662 0.5367507 0.4519962 0.4012275 0.4904456 0.6115392 0.6325049 0.9412887 0.8400351
33 1 311.536 -0.4630765 1.192832 -2.498902 353.4224 3.249448 354.6414 0.5444722 0.4616662 0.5367507 0.4519962 -1 -1 -1 -1 0.9412887 0.8400351
34 1 311.5461 -0.4631478 1.192822 -2.498949 353.4156 3.242934 354.6522 0.5450895 0.4625404 0.5370824 0.4521835 0.4009511 0.4914292 0.6119247 0.6325411 0.9748005 0.9101788
35 1 311.5573 -0.4631824 1.192871 -2.498957 353.3999 3.2506 354.6563 0.5450895 0.4625404 0.5370824 0.4521835 -1 -1 -1 -1 0.9748005 0.9101788
36 1 311.5685 -0.4631755 1.192902 -2.499 353.3988 3.269081 354.656 0.5454636 0.4626282 0.5370824 0.4521835 0.4006275 0.4916618 -1 -1 0.8935621 0.9101788
37 1 311.5793 -0.4631712 1.192934 -2.499043 353.391 3.288197 354.65 0.5454636 0.4626282 0.5370824 0.4521835 -1 -1 -1 -1 0.8935621 0.9101788
38 1 311.5908 -0.4631374 1.192881 -2.499082 353.3629 3.309768 354.6509 0.5462295 0.4628394 0.5377336 0.4521773 0.3999752 0.492164 0.6125759 0.6329644 0.8139974 0.874905
39 1 311.6017 -0.4631532 1.192896 -2.499116 353.3664 3.339269 354.6472 0.5462295 0.4628394 0.5377336 0.4521773 -1 -1 -1 -1 0.8139974 0.874905
40 1 311.6129 -0.4631375 1.192886 -2.499162 353.3564 3.363409 354.6392 0.5463628 0.4634552 0.5380659 0.4528041 0.4000656 0.4927265 0.6130852 0.632589 0.9422306 0.8194452
41 1 311.6239 -0.4630676 1.192823 -2.499205 353.3441 3.386357 354.6312 0.5463628 0.4634552 0.5380659 0.4528041 -1 -1 -1 -1 0.9422306 0.8194452
42 1 311.6352 -0.4630434 1.192838 -2.499223 353.3436 3.418018 354.615 0.5463389 0.463606 0.5383462 0.4530728 0.4001414 0.4928399 0.6134417 0.6325172 0.8528489 0.8766544
43 1 311.6461 -0.4630262 1.192842 -2.499194 353.3347 3.445468 354.6004 0.5463389 0.463606 0.5383462 0.4530728 -1 -1 -1 -1 0.8528489 0.8766544
44 1 311.6576 -0.4630344 1.192909 -2.499149 353.3279 3.465314 354.5976 0.5463697 0.4638424 0.5376666 0.4533888 0.4001954 0.4930468 0.6128492 0.6317843 0.9422638 0.738571
45 1 311.6685 -0.4629733 1.192928 -2.499117 353.3337 3.482499 354.5954 0.5463697 0.4638424 0.5376666 0.4533888 -1 -1 -1 -1 0.9422638 0.738571
46 1 311.6799 -0.4629239 1.192918 -2.499099 353.3286 3.49066 354.5941 0.5461476 0.463769 0.5376906 0.4533462 0.4003805 0.4928913 0.6128613 0.6318396 0.853018 0.9414927
47 1 311.6907 -0.4628401 1.192874 -2.499099 353.328 3.513331 354.5906 0.5461476 0.463769 0.5376906 0.4533462 -1 -1 -1 -1 0.853018 0.9414927
48 1 311.7023 -0.4628008 1.192878 -2.49907 353.3251 3.536103 354.5806 0.5459252 0.463532 0.5379055 0.4530752 0.4005081 0.4926016 0.6130006 0.6322317 0.8122289 0.7960581
49 1 311.7124 -0.4627214 1.192871 -2.49904 353.3244 3.544446 354.5672 0.5459252 0.463532 0.5379055 0.4530752 -1 -1 -1 -1 0.8122289 0.7960581
50 1 311.7239 -0.4626551 1.192841 -2.499014 353.3396 3.561734 354.5377 0.5458063 0.4636635 0.5374448 0.452578 0.4006673 0.4926583 0.612399 0.6324026 0.7755337 0.721578
51 1 311.735 -0.4626549 1.1928 -2.498982 353.3493 3.582985 354.5146 0.5458063 0.4636635 0.5374448 0.452578 -1 -1 -1 -1 0.7755337 0.721578
52 1 311.7462 -0.4626212 1.192768 -2.499018 353.3631 3.596081 354.4975 0.5455263 0.4638876 0.5371041 0.4528151 0.4010119 0.4927216 0.6121238 0.6319619 0.8899906 0.8009067
53 1 311.7574 -0.4626474 1.19284 -2.498945 353.3812 3.612748 354.4916 0.5455263 0.4638876 0.5371041 0.4528151 -1 -1 -1 -1 0.8899906 0.8009067
54 1 311.7682 -0.4625296 1.192866 -2.498885 353.3937 3.598578 354.4989 0.5452845 0.4637431 0.5370663 0.4525076 0.4011904 0.4924994 0.6119996 0.6322263 0.8546088 0.9086054
55 1 311.7794 -0.4624729 1.192895 -2.498817 353.4049 3.60055 354.5015 0.5452845 0.4637431 0.5370663 0.4525076 -1 -1 -1 -1 0.8546088 0.9086054
56 1 311.7907 -0.462377 1.192846 -2.4988 353.3914 3.585525 354.529 0.5450844 0.4636819 0.5370761 0.4524378 0.4013586 0.4923633 0.6119898 0.6322981 0.9067572 0.7536177
57 1 311.8018 -0.4623554 1.192867 -2.498759 353.4055 3.576881 354.54 0.5450844 0.4636819 0.5370761 0.4524378 -1 -1 -1 -1 0.9067572 0.7536177
58 1 311.8126 -0.4623441 1.192859 -2.498706 353.4273 3.560755 354.5426 0.5468047 0.4578513 0.5374483 0.4512446 0.3976733 0.4882906 0.6120275 0.6336588 0.6830406 0.6128763
59 1 311.8237 -0.4622812 1.192817 -2.498661 353.4339 3.541512 354.5354 0.5468047 0.4578513 0.5374483 0.4512446 -1 -1 -1 -1 0.6830406 0.6128763
60 1 311.8348 -0.4622613 1.1928 -2.498627 353.4442 3.546411 354.5251 0.5468047 0.4578513 0.5374483 0.4512446 -1 -1 -1 -1 0.6830406 0.6128763
