pcIndex middleAcc leftAcc leftCon rightAcc rightCon caliIndex
3 30.88281 30.38852 0 33.49863 0.7133937 0
3 30.883 30.38864 0 33.49875 0.7133937 0
3 30.88667 30.38837 0 33.51149 1 0
3 30.88683 30.38853 0 33.51157 1 0
3 30.89907 30.38848 0 33.53177 0.9014794 0
3 30.899 30.3885 0 33.53181 0.9014794 0
3 30.85784 30.38842 0 33.43215 0.734215 0
3 30.85789 30.38848 0 33.43216 0.734215 0
3 30.82775 30.38844 0 33.37224 0.9157338 0
3 30.82778 30.38848 0 33.37225 0.9157338 0
3 33.22929 33.15582 0.885168 33.31692 0.8353511 0
3 33.22916 33.15574 0.885168 33.31682 0.8353511 0
3 33.20248 33.15575 0.885168 33.26684 0.7727593 0
3 33.20245 33.15573 0.885168 33.26679 0.7727593 0
3 33.03123 32.94311 0.892422 33.13641 0.7998095 0
3 33.03125 32.94307 0.892422 33.1364 0.7998095 0
3 32.91508 32.82229 0.8899441 33.02574 0.6225693 0
3 32.91513 32.82233 0.8899441 33.02584 0.6225693 0
3 32.68797 32.56176 0.9994219 32.83373 0.6116475 0
3 32.68787 32.56169 0.9994219 32.8336 0.6116475 0
3 32.34911 32.18412 1 32.53175 0.3890866 0
3 32.34916 32.18412 1 32.53175 0.3890866 0
3 32.15165 31.78122 0.7668877 32.53178 0.3890866 0
3 32.15165 31.78129 0.7668877 32.5318 0.3890866 0
3 31.73088 31.45226 0.7740814 32.02201 0.3363468 0
3 31.73079 31.45226 0.7740814 32.02195 0.3363468 0
3 31.30468 31.08222 0.963659 31.53949 0.3346542 0
3 31.30462 31.0822 0.963659 31.53944 0.3346542 0
3 31.09878 30.66472 0.7440838 31.53948 0.3346542 0
3 31.09872 30.6647 0.7440838 31.53945 0.3346542 0
3 23.05337 18.4678 0.5064715 27.9922 0 0
3 23.05324 18.46768 0.5064715 27.99207 0 0
3 22.6695 30.38857 0 14.71466 0.7594097 0
3 22.66956 30.38855 0 14.71476 0.7594097 0
3 22.62293 30.38851 0 14.57993 0.4247196 0
3 22.63675 30.38853 0 14.58286 0.588018 0
3 22.6368 30.38854 0 14.5829 0.588018 0
3 22.60654 30.38855 0 14.51188 0.7253089 0
3 22.60654 30.38852 0 14.51193 0.7253089 0
3 14.14405 13.81197 0.99 14.50517 0.6899474 0
3 14.14402 13.81202 0.99 14.50523 0.6899474 0
3 13.95532 13.57911 0.8441064 14.36415 0.8395594 0
