FieldOfView 109.9064 TargetEye Both Mode single
SampleIndex PCIndex Timestamp CamPos.x CamPos.y CamPos.z CamRot.x CamRot.y CamRot.z LeftGazePos.x LeftGazePos.y RightGazePos.x RightGazePos.y LeftPupilPos.x LeftPupilPos.y RightPupilPos.x RightPupilPos.y LeftConfidence RightConfidence
1 1 163.8276 0.6376761 1.634512 -2.417436 359.6167 330.2168 358.3133 0.5653706 0.51671 0.5608725 0.5121028 0.3724106 0.5443532 0.6522306 0.5976902 1 0.6026219
2 1 163.846 0.6380237 1.63462 -2.418466 359.5008 330.1877 358.3507 0.5656174 0.5163944 0.5608302 0.5121665 0.3720557 0.5442206 0.6522041 0.5976062 1 0.6459174
3 1 163.8656 0.6464707 1.632062 -2.438136 358.4425 330.3266 358.1063 0.5656174 0.5163944 0.5608302 0.5121665 -1 -1 -1 -1 1 0.6459174
4 1 163.881 0.6475622 1.631795 -2.439782 358.4404 330.4213 358.1299 0.5658776 0.5153786 0.5606794 0.5108012 0.3714366 0.5435189 0.6516619 0.5988135 1 0.8843425
5 1 163.8902 0.6486169 1.631457 -2.441556 358.475 330.5208 358.1093 0.5658776 0.5153786 0.5606794 0.5108012 -1 -1 -1 -1 1 0.8843425
6 1 163.9109 0.6498157 1.631048 -2.443367 358.6568 330.6012 358.0396 0.5658776 0.5153786 0.5606794 0.5108012 -1 -1 -1 -1 1 0.8843425
7 1 163.9223 0.6504755 1.630869 -2.444285 358.7279 330.6346 357.9939 0.5652785 0.5130401 0.5604936 0.5086368 0.3711848 0.541285 0.6508554 0.6007593 1 0.7077396
8 1 163.9329 0.6511105 1.630662 -2.445266 358.7589 330.6634 357.9237 0.5652785 0.5130401 0.5604936 0.5086368 -1 -1 -1 -1 1 0.7077396
9 1 163.9446 0.6515276 1.630543 -2.446075 358.7733 330.69 357.8537 0.5644996 0.5133405 0.5597332 0.5076929 0.3720573 0.5411322 0.6497929 0.6012245 0.9042297 0.6325493
10 1 163.955 0.6521297 1.630512 -2.446982 358.7777 330.7396 357.7677 0.5644996 0.5133405 0.5597332 0.5076929 -1 -1 -1 -1 0.9042297 0.6325493
11 1 163.9662 0.6526634 1.630557 -2.447875 358.8016 330.7973 357.6902 0.5637279 0.514525 0.5586938 0.507398 0.3732384 0.5417122 0.6486233 0.6009184 1 0.654494
12 1 163.9776 0.6530744 1.630611 -2.448707 358.8154 330.8514 357.5881 0.5637279 0.514525 0.5586938 0.507398 -1 -1 -1 -1 1 0.654494
13 1 163.9886 0.6535913 1.630592 -2.449739 358.8175 330.9003 357.4904 0.5637279 0.514525 0.5586938 0.507398 -1 -1 -1 -1 1 0.654494
14 1 164.0116 0.6545279 1.630568 -2.45146 358.7995 331.0001 357.3808 0.5633855 0.5153206 0.556718 0.5081425 0.3738579 0.5421922 0.6467664 0.5991088 1 0.7325506
15 1 164.0227 0.6550637 1.63074 -2.452117 358.7394 331.0526 357.355 0.5633855 0.5153206 0.556718 0.5081425 -1 -1 -1 -1 1 0.7325506
16 1 164.0336 0.6555148 1.6309 -2.452922 358.6571 331.1144 357.3386 0.5615253 0.516114 0.5558226 0.5075771 0.3759577 0.5418968 0.6456697 0.5991442 0.9943116 0.693413
17 1 164.0444 0.6558343 1.631139 -2.453596 358.5705 331.1835 357.358 0.5615253 0.516114 0.5558226 0.5075771 -1 -1 -1 -1 0.9943116 0.693413
18 1 164.0554 0.6562955 1.631369 -2.454379 358.5111 331.252 357.3547 0.5612749 0.5149754 0.5550188 0.5080761 0.3757964 0.5408315 0.6449674 0.5982278 0.8951629 0.880683
19 1 164.0667 0.6566408 1.631599 -2.455175 358.4595 331.3429 357.3369 0.5612749 0.5149754 0.5550188 0.5080761 -1 -1 -1 -1 0.8951629 0.880683
20 1 164.0889 0.6571653 1.632283 -2.456638 358.3986 331.5063 357.251 0.5599319 0.5143709 0.5538121 0.5074491 0.37689 0.5396515 0.6435268 0.5981517 1 0.7394927
21 1 164.2428 0.6575473 1.632571 -2.457497 358.3417 331.5584 357.2003 0.5026383 0.4822561 0.4998105 0.4800011 0 1 0 1 0 0
22 1 164.2538 0.6572155 1.636391 -2.463908 357.9875 331.0905 357.6418 0.5026383 0.4822561 0.4998105 0.4800011 -1 -1 -1 -1 0 0
23 1 164.2588 0.6572822 1.636436 -2.464513 358.1435 331.0682 357.6598 0.5026383 0.4822561 0.4998105 0.4800011 0 1 -1 -1 0 0
24 1 164.2663 0.6573477 1.63644 -2.465089 358.319 331.0574 357.6009 0.6267967 0.4165935 0.626415 0.4284621 0.2720038 0.4876695 0.6822371 0.7299718 0.99 0.5222524
